Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300051508,21/09/2022,IN202222628,9008183,AGRO PACK WH,Dahej,1018329,Adama India Private Limited,Bharuch,134620103,SK 40/23 SFB CUT <IHS ADAMA PURPLE 9333,1346201,SK 40/23 SFB CUT IHS - ADAMA,"323,000",190,0.00,Bharuch,IN,CIF,17587,N P TRANSPORT,NP0918,Gujarat,Gujarat,24AABCM8797N1ZO,,Cont.-20 Ft.,MH14EM8919
7300051509,21/09/2022,IN202222629,9008183,AGRO PACK WH,Dahej,1018329,Adama India Private Limited,Bharuch,134620110,SK 40/23 SFB CUT <(VEN8) ADAMA BLUE 2311,1346204,SK 40/23 SFB IHS VENT - ADAMA,"98,600",58,0.00,Bharuch,IN,CIF,17587,N P TRANSPORT,NP0918,Gujarat,Gujarat,24AABCM8797N1ZO,,Cont.-20 Ft.,MH14EM8919
7300051510,21/09/2022,IN202222630,9008183,AGRO PACK WH,Dahej,1018329,Adama India Private Limited,Bharuch,134620102,SK 40/23 SFB CUT <IHS ADAMA GREEN 1821,1346201,SK 40/23 SFB CUT IHS - ADAMA,"88,400",52,0.00,Bharuch,IN,CIF,17587,N P TRANSPORT,NP0918,Gujarat,Gujarat,24AABCM8797N1ZO,,Cont.-20 Ft.,MH14EM8919
7300051511,21/09/2022,IN202222631,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008607,DS 38/16 2T SFB HF<GREEN X6-920*,1730945,DS 38/16 2T SFB HF (3605),"126,000",42,0.00,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051511,21/09/2022,IN202222631,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008608,DS 38/16 2T SFB HF<ORANGE X4-0295 *,1730945,DS 38/16 2T SFB HF (3605),"156,000",52,0.00,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051512,21/09/2022,IN202222632,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008607,DS 38/16 2T SFB HF<GREEN X6-920*,1730945,DS 38/16 2T SFB HF (3605),"225,000",75,0.00,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051513,21/09/2022,IN202222633,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008606,DS 38/16 2T SFB HF<YELLOW 1085*,1730945,DS 38/16 2T SFB HF (3605),"312,000",104,0.00,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051513,21/09/2022,IN202222633,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008608,DS 38/16 2T SFB HF<ORANGE X4-0295 *,1730945,DS 38/16 2T SFB HF (3605),"123,000",41,0.00,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051514,21/09/2022,IN202222634,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Goblej,IN,CIF,17587,N P TRANSPORT,NP0916,Gujarat,Gujarat,24AAACH3005M1ZX,24AAACH3005M1ZX,Cont.-20 Ft.,MH14JL9558
7300051515,21/09/2022,IN202222635,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134051075,SK 40/24 PV 5<IHS 37.5 PETRONAS BLUE 180,1340590,SK 40/24 PV5 IHS,"58,500",50,"4,370.00","Chakala,Andher(E), Mumbai",IN,CPT,17587,N P TRANSPORT,NP0917,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14HU5295
7300051516,21/09/2022,IN202222636,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134053050,SK 40/24 PV5<*PET RS.20RED12 *PETRON BLK,1340590,SK 40/24 PV5 IHS,"28,500",20,"2,129.00","Chakala,Andher(E), Mumbai",IN,CPT,17587,N P TRANSPORT,NP0917,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14HU5295
